DEBUG 2024-08-14 08:42:14,794 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\db\backends\sqlite3\_functions.py first seen with mtime 1723565336.5719907
DEBUG 2024-08-14 08:42:14,795 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\graphlib.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,795 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\asyncio\base_events.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,795 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\admin\exceptions.py first seen with mtime 1723565318.6026444
DEBUG 2024-08-14 08:42:14,796 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\DLLs\_overlapped.pyd first seen with mtime 1680670074.0
DEBUG 2024-08-14 08:42:14,796 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\admin\templatetags\log.py first seen with mtime 1723565321.3485608
DEBUG 2024-08-14 08:42:14,796 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\ultimate_texas_holdem\game\models.py first seen with mtime 1723567334.6811662
DEBUG 2024-08-14 08:42:14,796 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\log.py first seen with mtime 1723565339.2933452
DEBUG 2024-08-14 08:42:14,796 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\concurrent\__init__.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,797 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\email\message.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,797 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\asyncio\futures.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,797 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\email\_parseaddr.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,797 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1723565321.3409095
DEBUG 2024-08-14 08:42:14,797 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\site.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,798 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\glob.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,798 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\asyncio\events.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,798 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\ultimate_texas_holdem\ultimate_texas_holdem\settings.py first seen with mtime 1723639332.7996793
DEBUG 2024-08-14 08:42:14,798 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\template\autoreload.py first seen with mtime 1723565338.5535278
DEBUG 2024-08-14 08:42:14,798 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\_compression.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,799 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\bisect.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,799 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\templatetags\cache.py first seen with mtime 1723565339.098735
